Name,Pass_pattern,n_passes,Count
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,15
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,13
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,8,11
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,11
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,3,6
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,4,5
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall,3,4
garfinkel2014,control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,3,3
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,3
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall,5,3
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_renewal;PTSD_t_test_between_stimuli_in_renewal,5,3
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,8,3
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,3,3
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,4,3
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,3,3
garfinkel2014,PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,3,3
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,2
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction,3,2
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,2
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall,3,2
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,4,2
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,2
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall,3,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall,5,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction,4,1
