,Name,Pass_pattern,n_passes,Count
69,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_stimulu_main_effects,5,2
70,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_trial_number_main_effect,4,2
71,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_trial_interaction,3,1
72,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;early_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_group_x_trial_interaction;late_extinction_ANOVA_stimulu_main_effects,6,1
73,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_stimulu_main_effects,3,1
74,felmingham2018,early_extinction_ANOVA_cue_type_main_effect;early_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_trial_number_main_effect;late_extinction_ANOVA_stimulu_main_effects,4,1
75,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,645
76,garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,58
77,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,35
78,garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,33
79,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,4,29
80,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,22
81,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall,4,21
82,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,19
83,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall,6,16
84,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,15
85,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,13
86,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,8,13
87,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,11
88,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,5,8
89,garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,3,6
90,garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,4,3
91,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction,3,3
92,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,8,3
93,garfinkel2014,PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,3,3
94,garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall,3,2
95,garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,2
96,garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall,5,2
97,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall,3,2
98,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_renewal;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,9,2
99,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,3,2
100,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,2
101,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,4,2
102,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,2
103,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,3,2
104,garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall,3,2
105,garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,2
106,garfinkel2014,control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,3,1
107,garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
108,garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,1
109,garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,1
110,garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,1
111,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
112,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;control_t_test_between_stimuli_in_renewal;PTSD_t_test_between_stimuli_in_renewal,5,1
113,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
114,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction,4,1
115,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;PTSD_t_test_between_stimuli_in_renewal,6,1
116,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,1
117,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;renewal_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,9,1
118,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall,7,1
119,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall,7,1
120,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,8,1
121,garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal,5,1
122,garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
123,garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,3,1
124,garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,4,1
125,garfinkel2014,PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,1
126,grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction;acquisition_ANOVA_group_x_cue_type_interaction,3,810
127,grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction;extinction_ANOVA_group_x_cue_type_interaction;acquisition_ANOVA_group_x_cue_type_interaction,4,140
128,grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction,2,44
129,grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction;extinction_ANOVA_group_x_cue_type_interaction,3,5
130,grillon1999,control_group_effect_of_cue_type_in_acquisition;extinction_ANOVA_group_x_cue_type_interaction;acquisition_ANOVA_group_x_cue_type_interaction,3,1
131,handy2018,,NA,957
132,handy2018,extinction_group_effect_on_regression,1,43
133,jovanovic2013,control_acquistion_cue_type_main_effect;control_extinction_cue_type_main_effect,2,525
134,jovanovic2013,control_extinction_cue_type_main_effect,1,430
135,jovanovic2013,control_extinction_cue_type_main_effect;PTSD_acquistion_cue_type_main_effect,2,24
136,jovanovic2013,control_acquistion_cue_type_main_effect;control_extinction_cue_type_main_effect;PTSD_acquistion_cue_type_main_effect,3,21
137,milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,784
138,milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,58
139,milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,55
140,milad2009,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,49
141,milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect,2,32
142,milad2009,extinction_ANOVA_group_x_cue_type_interaction,1,6
143,milad2009,extinction_ANOVA_cue_type_main_effect,1,4
144,milad2009,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,4
145,milad2009,extinction_ANOVA_group_main_effect,1,3
146,milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,3
147,milad2009,extinction_ANOVA_cue_type_main_effect;recall_ANOVA_group_x_cue_type_interaction,2,1
148,milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;recall_ANOVA_group_x_cue_type_interaction,3,1
149,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference;extinction_block_3_t_test,5,698
150,norrholm2011,extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference;extinction_block_3_t_test,4,88
151,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference;extinction_block_3_t_test,6,70
152,norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference,4,32
