Study,Analyses that were recreated,Number of recreations,Number of simulations that had this result
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,2
garfinkel2014,PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_renewal,2,2
garfinkel2014,PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_renewal,3,2
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,1
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,1
garfinkel2014,control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall,5,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,8,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;renewal_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall,8,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;PTSD_t_test_between_stimuli_in_renewal,5,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,6,1
garfinkel2014,extinction_ANOVA_group_main_effect;control_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,1
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;PTSD_t_test_between_stimuli_in_recall;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall,4,1
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;PTSD_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,5,1
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction;renewal_ANOVA_group_x_cue_type_interaction;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall,6,1
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_extinction;renewal_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_renewal;t_test_between_groups_in_renewal;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,7,1
garfinkel2014,extinction_ANOVA_group_main_effect;PTSD_t_test_between_stimuli_in_renewal,2,1
garfinkel2014,extinction_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction;control_t_test_between_stimuli_in_recall;PTSD_t_test_between_stimuli_in_renewal,4,1
garfinkel2014,PTSD_t_test_between_stimuli_in_extinction;recall_ANOVA_group_x_cue_type_interaction,2,1
grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction;acquisition_ANOVA_group_x_cue_type_interaction,3,551
grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction;extinction_ANOVA_group_x_cue_type_interaction;acquisition_ANOVA_group_x_cue_type_interaction,4,391
grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction,2,33
grillon1999,control_group_effect_of_cue_type_in_acquisition;control_group_effect_of_cue_type_in_extinction;extinction_ANOVA_group_x_cue_type_interaction,3,25
handy2018,,NA,956
handy2018,extinction_group_effect_on_regression,1,44
jovanovic2013,control_acquistion_cue_type_main_effect;control_extinction_cue_type_main_effect,2,1000
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,403
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,190
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,3,175
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,4,84
milad2009,extinction_ANOVA_group_main_effect,1,45
milad2009,extinction_ANOVA_group_main_effect;recall_ANOVA_group_x_cue_type_interaction,2,26
milad2009,extinction_ANOVA_group_x_cue_type_interaction,1,19
milad2009,extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,2,17
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect,2,13
milad2009,,NA,6
milad2009,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;recall_ANOVA_group_x_cue_type_interaction,3,6
milad2009,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,5
milad2009,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;recall_ANOVA_group_x_cue_type_interaction,3,4
milad2009,recall_ANOVA_group_x_cue_type_interaction,1,4
milad2009,extinction_ANOVA_cue_type_main_effect;recall_ANOVA_group_x_cue_type_interaction,2,2
milad2009,extinction_ANOVA_cue_type_main_effect,1,1
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference;extinction_block_3_t_test,6,486
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference;extinction_block_3_t_test,5,324
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference,5,72
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;CS_minus_group_difference,4,44
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;CS_minus_group_difference;extinction_block_3_t_test,5,23
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;extinction_block_2_t_test;acquisition_ANOVA_group_main_effect;extinction_block_3_t_test,5,17
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;CS_minus_group_difference;extinction_block_3_t_test,4,12
norrholm2011,extinction_ANOVA_group_main_effect;extinction_block_1_t_test;acquisition_ANOVA_group_main_effect;extinction_block_3_t_test,4,11
